x, y
1, -0.200378
2, -0.127205
3, -0.064545
4, -0.068925
5, -0.066248
6, -0.032295
7, -0.019698
8, -0.028052
9, -0.011150
10, -0.033191
11, -0.026743
12, -0.015073
13, -0.022968
14, 0.030355
15, 0.010552
16, -0.016757
17, 0.013254
18, 0.020553
19, 0.013419
20, 0.011110
21, 0.024579
22, 0.025523
23, 0.005986
24, -0.016443
25, 0.040674
26, -0.003596
27, -0.004628
28, 0.034469
29, 0.010165
30, 0.030444
31, -0.018947
32, 0.048071
33, 0.063010
34, 0.018804
35, -0.007952
36, 0.029157
37, 0.038372
38, 0.049582
39, -0.000445
40, 0.027419
41, 0.017660
42, 0.027106
43, 0.022759
44, 0.006896
45, 0.036576
46, 0.013104
47, 0.071541
48, -0.012815
49, 0.051637
50, 0.014373
51, 0.019888
52, 0.028240
53, 0.061561
54, -0.008360
55, 0.024659
56, 0.017627
57, 0.019438
58, 0.040927
59, 0.091261
60, 0.042374
61, 0.058279
62, -0.009680
63, 0.010305
64, 0.009087
65, 0.017344
66, -0.023951
67, 0.029793
68, 0.010981
69, 0.041258
70, 0.046091
71, 0.015505
72, 0.015341
73, 0.003160
74, 0.005002
75, 0.028248
76, 0.095989
77, 0.001198
78, 0.010823
79, 0.023054
80, 0.016571
81, 0.009335
82, 0.053299
83, 0.019995
84, -0.005376
85, 0.012294
86, 0.033311
87, 0.038510
88, 0.011646
89, 0.016678
90, -0.003332
91, -0.003682
92, 0.010352
93, 0.008414
94, 0.009114
95, -0.020339
96, -0.002399
97, 0.120104
98, 0.010212
99, 0.026082
